Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET Authors,50,7,6,29,3.16,0.000%,10.18123,31.88,1.27,3206.0
GET Books,50,2,1,3,0.53,0.000%,10.23751,32.05,1.28,3206.0
TOTAL,100,4,1,29,3.54,0.000%,20.35416,63.73,2.54,3206.0
