Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET Authors,100,6,5,11,0.73,0.000%,20.17756,63.17,2.52,3206.0
GET Books,100,1,1,3,0.38,0.000%,20.21836,63.30,2.53,3206.0
TOTAL,200,4,1,11,2.39,0.000%,40.33885,126.30,5.04,3206.0
